,站號,站名,海拔高度(m),城市,經度,緯度,地址
0,466850,五分山雷達站,756.0,新北市,121.781205,25.071182,瑞芳區靜安路四段1巷1號
1,466880,板橋,9.7,新北市,121.442017,24.997647,板橋區大觀路二段265巷62號
2,466900,淡水,19.0,新北市,121.448906,25.164889,淡水區中正東路42巷6號
3,466910,鞍部,837.6,臺北市,121.529731,25.182586,北投區陽明山竹子湖路111號
4,466920,臺北,5.3,臺北市,121.514853,25.037658,中正區公園路64號
5,466930,竹子湖,607.1,臺北市,121.544547,25.162078,北投區陽明山竹子湖路2號
6,466940,基隆,26.7,基隆市,121.740475,25.133314,仁愛區港西街6號6樓(海港大樓6樓)
7,466950,彭佳嶼,101.7,基隆市,122.079744,25.627975,中正區彭佳嶼
8,466990,花蓮,16.1,花蓮縣,121.613275,23.975128,花蓮市花崗街24號
9,467050,新屋,20.6,桃園市,121.047486,25.006744,新屋區東興路二段946號
10,467060,蘇澳,24.9,宜蘭縣,121.857372,24.596736,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓)
11,467080,宜蘭,7.2,宜蘭縣,121.756528,24.763975,宜蘭市力行路150號
12,467110,金門,47.9,金門縣,118.289281,24.407306,金城鎮金水里西海路一段250號
13,467270,田中,48.6,彰化縣,120.581348,23.873776,田中鎮中潭里4鄰高鐵三路1段167號
14,467300,東吉島,43.0,澎湖縣,119.667467,23.25695,望安鄉東吉村156號
15,467350,澎湖,10.7,澎湖縣,119.563094,23.565503,馬公市新興路2號
16,467410,臺南,40.8,臺南市,120.204772,22.993239,中西區公園路21號
17,467420,永康,8.1,臺南市,120.2367,23.038386,永康區鹽行里正南五街520巷88號
18,467440,高雄,2.3,高雄市,120.315733,22.565992,前鎮區明孝里26鄰漁港南二路2號
19,467480,嘉義,26.9,嘉義市,120.432906,23.495925,西區北新里海口寮路56號
20,467490,臺中,84.0,臺中市,120.684075,24.145736,北區精武路295號
21,467530,阿里山,2413.4,嘉義縣,120.813242,23.508208,阿里山鄉中正村4鄰東阿里山73-1號
22,467540,大武,8.1,臺東縣,120.903789,22.355675,大武鄉大武街115號
23,467550,玉山,3844.8,南投縣,120.959522,23.487614,信義鄉玉山北峰1號
24,467571,新竹,26.9,新竹縣,121.014219,24.827853,竹北市北崙里3鄰光明五街60號
25,467590,恆春,22.3,屏東縣,120.746339,22.003897,恆春鎮天文路50號
26,467610,成功,33.5,臺東縣,121.373428,23.097486,成功鎮公民路84號
27,467620,蘭嶼,324.0,臺東縣,121.558339,22.036969,蘭嶼鄉紅頭村2號
28,467650,日月潭,1017.5,南投縣,120.90805,23.881325,魚池鄉水社村中山路270巷14號
29,467660,臺東,9.0,臺東縣,121.154586,22.752211,臺東市大同路106號
30,467770,梧棲,31.7,臺中市,120.523381,24.256003,梧棲區臺灣大道十段2號海港大樓6樓
31,467790,墾丁雷達站,42.0,屏東縣,120.808028,21.948235,恆春鎮燈塔路51巷33號
32,467990,馬祖,97.8,連江縣,119.923419,26.169269,南竿鄉四維村6鄰88號
33,C0A520,山佳,48.0,新北市,121.402008,24.974944,樹林區中山路3段5號(山佳國民小學校園內)
34,C0A530,坪林,300.0,新北市,121.709378,24.938203,坪林區
35,C0A540,四堵,401.0,新北市,121.745894,24.892761,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘)
36,C0A550,泰平,422.0,新北市,121.823711,24.971197,雙溪區泰平里8鄰大平路43號(泰平國小分校附近)
37,C0A560,福山,405.0,新北市,121.502811,24.776203,烏來區福山里李茂岸八號(福山國小旁)
38,C0A570,桶後,360.0,新北市,121.597992,24.848222,烏來區后桶街49號孝義里5-6k處路旁
39,C0A640,石碇,241.0,新北市,121.662931,24.993858,石碇區湳窟34號附近
40,C0A650,火燒寮,287.0,新北市,121.742892,25.002719,平溪區東勢里
41,C0A660,瑞芳,97.0,新北市,121.801147,25.113169,瑞芳區22403龍山里逢甲路360號(義方國民小學校園內)
42,C0A770,科教館,60.0,臺北市,121.516507,25.096356,士林區士商路189號（士林科教館樓頂）
43,C0A860,大坪,362.0,新北市,121.632969,25.165914,萬里區溪底里香員林6-3號
44,C0A870,五指山,685.0,新北市,121.608692,25.132153,汐止區國軍示範公墓旁之復興廣播電台門口外
45,C0A880,福隆,6.0,新北市,121.942083,25.017842,貢寮區東北角海岸國家風景管理處之福隆遊客中心後方
46,C0A890,雙溪,40.0,新北市,121.864242,25.036003,雙溪區雙溪里社區活動中心旁花圃內
47,C0A920,富貴角,196.0,新北市,121.565258,25.263783,石門區山溪里10鄰九芎林13號旁(石門國小山溪分班附近)
48,C0A931,三和,216.0,新北市,121.595236,25.233153,金山區三和國小兩湖分校
49,C0A940,金山,49.0,新北市,121.643967,25.223628,金山區中興段404地號(磺港社區活動中心內)
50,C0A950,鼻頭角,60.0,新北市,121.923372,25.129036,瑞芳區鼻頭角燈塔旁
51,C0A970,三貂角,96.0,新北市,122.002058,25.007606,貢寮區三貂角燈塔旁
52,C0A980,社子,11.0,臺北市,121.469681,25.109508,士林區延平北路九段212號(臺北海洋科技大學內)
53,C0A9C0,天母,35.0,臺北市,121.537169,25.117494,士林區天母東路116號(三玉國小內)
54,C0A9F0,內湖,35.0,臺北市,121.57545,25.079422,內湖區內湖路一段520號(內湖高工內)
55,C0AC40,大屯山,1079.0,臺北市,121.522408,25.175675,北投區湖田段461-6地號(民航局大屯山助航臺)
56,C0AC60,三峽,55.0,新北市,121.369728,24.939025,三峽區復興路238號(三峽國中校園內)
57,C0AC70,信義,71.0,臺北市,121.564597,25.037822,信義區市府路1號(台北市政府頂樓)
58,C0AC80,文山,40.0,臺北市,121.575728,25.00235,文山區木柵路4段159巷14-1號(博嘉國小校園內)
59,C0ACA0,新莊,25.0,新北市,121.446756,25.051478,新莊區中和街193號(榮富國小校園內)
60,C0AD00,三芝,86.0,新北市,121.501917,25.258131,三芝區育英路22號(三芝國小內)
61,C0AD10,八里,27.0,新北市,121.403947,25.150211,八里區中山路二段338號(八里國小內)
