,Date,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
0,2020-01-01,1,1024.9,1028.6,14.8,11.7,82,3.6,110,7.5,100,0.0,0.0,...,0.0,...,0,...
1,2020-01-01,2,1024.3,1028.0,14.8,12.3,85,3.3,110,8.4,90,0.0,0.0,...,0.0,...,0,...
2,2020-01-01,3,1024.0,1027.7,14.7,12.9,89,3.1,100,7.5,90,0.0,0.0,...,0.0,...,0,...
3,2020-01-01,4,1023.8,1027.5,14.5,13.0,91,4.3,90,8.9,90,0.0,0.0,...,0.0,...,0,...
4,2020-01-01,5,1024.1,1027.8,14.7,13.0,90,2.8,100,8.3,90,0.0,0.0,...,0.0,...,0,...
5,2020-01-01,6,1024.4,1028.1,14.9,12.8,87,4.1,90,8.6,90,0.0,0.0,0.0,0.0,...,0,...
6,2020-01-01,7,1025.2,1028.9,14.9,13.2,90,3.1,120,8.7,100,0.0,0.0,0.0,0.0,...,0,...
7,2020-01-01,8,1025.6,1029.3,15.4,13.6,89,3.5,90,7.9,110,0.0,0.0,0.0,0.0,30.0,0,8.0
8,2020-01-01,9,1026.0,1029.7,16.4,13.3,82,4.5,70,10.3,80,0.0,0.0,0.0,0.55,40.0,1,8.0
9,2020-01-01,10,1026.2,1029.9,16.3,13.2,82,5.0,100,10.5,90,0.0,0.0,0.0,0.65,...,1,...
10,2020-01-01,11,1025.5,1029.2,16.5,13.5,82,4.5,100,10.9,90,0.0,0.0,0.0,0.6,25.0,2,9.0
11,2020-01-01,12,1024.4,1028.1,16.8,13.2,79,4.1,100,11.0,90,0.0,0.0,0.0,0.62,...,2,...
12,2020-01-01,13,1023.6,1027.3,16.6,13.0,79,4.0,100,9.4,90,0.0,0.0,0.0,0.64,...,2,...
